HPT.ETA
0.063153,0.19883,0.36242,0.56217,0.69071,0.76914,0.82822,0.84371,0.84819,0.84625,0.84075,0.83393,0.82731,0.8214,0.81559,0.80856,0.79787,0.78015,0.75132,0.73227,0.70609,0.63846,0.54139
0.055106,0.17418,0.32025,0.50095,0.62624,0.71139,0.78514,0.82048,0.83831,0.84585,0.84686,0.84442,0.84075,0.83739,0.83474,0.83199,0.82771,0.81916,0.80266,0.79074,0.77352,0.72636,0.65445
0.051337,0.16277,0.29967,0.4709,0.59099,0.67482,0.75611,0.80225,0.82405,0.83739,0.84564,0.85033,0.85073,0.8486,0.84605,0.84462,0.84452,0.84157,0.83423,0.82751,0.81824,0.78789,0.74439
0.047467,0.15045,0.27757,0.43993,0.55371,0.6351,0.72932,0.78575,0.81712,0.83647,0.84788,0.8541,0.85654,0.85725,0.85837,0.85899,0.8599,0.85899,0.85481,0.85257,0.84717,0.83423,0.80643
0.043189,0.13333,0.2467,0.39389,0.50523,0.5913,0.69275,0.75733,0.79879,0.82344,0.83963,0.85216,0.8599,0.86428,0.86561,0.86591,0.86662,0.86744,0.86652,0.86571,0.86337,0.85644,0.84289
0.038401,0.11907,0.22083,0.35814,0.46092,0.542,0.65547,0.72209,0.77128,0.80551,0.82741,0.84187,0.85135,0.85756,0.86174,0.865,0.86825,0.8709,0.87192,0.87192,0.8709,0.86673,0.85766
0.031678,0.10155,0.19231,0.3178,0.41956,0.50573,0.6245,0.69285,0.74429,0.78208,0.80989,0.83026,0.84401,0.85359,0.86072,0.86612,0.8709,0.87488,0.8763,0.8761,0.87589,0.87355,0.86897
0.029438,0.089942,0.1695,0.28073,0.37474,0.45725,0.57398,0.64997,0.70324,0.74449,0.77638,0.7996,0.8162,0.82975,0.84045,0.8489,0.85624,0.86163,0.86408,0.86438,0.86479,0.86377,0.86051
0.025261,0.078738,0.14933,0.24915,0.33461,0.41172,0.52835,0.61136,0.67054,0.71353,0.74582,0.77098,0.79155,0.80897,0.82354,0.83546,0.84472,0.85114,0.85532,0.85603,0.85797,0.85685,0.84707
0.022205,0.069163,0.1317,0.22175,0.30039,0.37301,0.48648,0.57113,0.63398,0.68093,0.71669,0.7446,0.76701,0.78575,0.80184,0.81569,0.82761,0.83739,0.84513,0.84809,0.85073,0.85461,0.85746
0.019659,0.061218,0.11704,0.19842,0.27074,0.33868,0.44788,0.53232,0.59741,0.64763,0.68664,0.7173,0.74205,0.76242,0.77974,0.79471,0.80785,0.81946,0.82945,0.83372,0.8378,0.84462,0.84982
0.017622,0.054597,0.10461,0.17836,0.24487,0.30823,0.41243,0.49555,0.56166,0.61411,0.65577,0.68918,0.71628,0.73859,0.75733,0.77342,0.78748,0.80001,0.81121,0.8162,0.8212,0.82985,0.83739
0.015788,0.048995,0.094119,0.16114,0.22236,0.28134,0.38024,0.46122,0.52723,0.58101,0.62471,0.66046,0.6898,0.71404,0.73451,0.75193,0.76701,0.78035,0.79237,0.79767,0.80306,0.81284,0.8216
0.014362,0.044207,0.085053,0.14627,0.2026,0.2575,0.35101,0.42924,0.49443,0.54872,0.59384,0.63133,0.6626,0.68888,0.71098,0.72993,0.74623,0.76059,0.77332,0.77892,0.78473,0.79512,0.80459
0.013038,0.040133,0.07721,0.13323,0.18528,0.23642,0.32453,0.3997,0.46356,0.51765,0.56349,0.6023,0.6352,0.66311,0.68684,0.70732,0.72494,0.74042,0.75407,0.76008,0.76619,0.77719,0.78728
0.012019,0.036568,0.070487,0.12182,0.1699,0.21757,0.30059,0.3725,0.43464,0.48811,0.53415,0.57378,0.6078,0.63703,0.66229,0.68409,0.70314,0.71974,0.73441,0.74093,0.74745,0.75916,0.76986
0.011001,0.033512,0.064579,0.11184,0.15636,0.20077,0.27899,0.34765,0.40764,0.4602,0.50604,0.54597,0.5807,0.61106,0.63744,0.66056,0.68073,0.69856,0.71434,0.72127,0.7283,0.74093,0.75224
0.010186,0.030762,0.059384,0.10308,0.14434,0.18579,0.25944,0.32473,0.38269,0.43382,0.47915,0.51908,0.55422,0.58529,0.61259,0.63673,0.65802,0.67696,0.69377,0.7012,0.70874,0.72219,0.73431
0.009473,0.028419,0.054699,0.095239,0.13364,0.17235,0.24161,0.30375,0.35946,0.40917,0.45358,0.49321,0.52855,0.56003,0.58804,0.61299,0.6352,0.65506,0.67279,0.68073,0.68868,0.70304,0.71597
